customer_id,name,email,tier,signup_date,country
CUST-00001,Customer 1,customer1@example.com,standard,2025-08-02,US
CUST-00002,Customer 2,customer2@example.com,premium,2022-08-17,US
CUST-00003,Customer 3,customer3@example.com,standard,2022-02-21,US
CUST-00004,Customer 4,customer4@example.com,standard,2023-07-18,US
CUST-00005,Customer 5,customer5@example.com,standard,2023-05-17,US
CUST-00006,Customer 6,customer6@example.com,standard,2023-04-03,US
CUST-00007,Customer 7,customer7@example.com,standard,2022-10-13,US
CUST-00008,Customer 8,customer8@example.com,premium,2022-07-29,US
CUST-00009,Customer 9,customer9@example.com,standard,2025-10-17,US
CUST-00010,Customer 10,customer10@example.com,standard,2025-01-21,US
CUST-00011,Customer 11,customer11@example.com,standard,2022-06-28,US
CUST-00012,Customer 12,customer12@example.com,premium,2025-04-24,CA
CUST-00013,Customer 13,customer13@example.com,premium,2024-05-14,CA
CUST-00014,Customer 14,customer14@example.com,standard,2022-03-07,US
CUST-00015,Customer 15,customer15@example.com,standard,2022-03-03,US
CUST-00016,Customer 16,customer16@example.com,standard,2022-07-11,CA
CUST-00017,Customer 17,customer17@example.com,standard,2023-03-24,US
CUST-00018,Customer 18,customer18@example.com,standard,2023-04-22,US
CUST-00019,Customer 19,customer19@example.com,standard,2024-10-31,CA
CUST-00020,Customer 20,customer20@example.com,standard,2025-05-17,US
CUST-00021,Customer 21,customer21@example.com,standard,2022-02-24,US
CUST-00022,Customer 22,customer22@example.com,standard,2025-02-23,US
CUST-00023,Customer 23,customer23@example.com,standard,2023-02-12,CA
CUST-00024,Customer 24,customer24@example.com,standard,2025-08-23,CA
CUST-00025,Customer 25,customer25@example.com,standard,2025-12-07,CA
CUST-00026,Customer 26,customer26@example.com,standard,2025-01-21,US
CUST-00027,Customer 27,customer27@example.com,standard,2024-05-09,US
CUST-00028,Customer 28,customer28@example.com,standard,2023-03-28,US
CUST-00029,Customer 29,customer29@example.com,standard,2024-07-08,US
CUST-00030,Customer 30,customer30@example.com,standard,2025-04-21,US
CUST-00031,Customer 31,customer31@example.com,standard,2023-07-24,US
CUST-00032,Customer 32,customer32@example.com,standard,2022-01-14,US
CUST-00033,Customer 33,customer33@example.com,standard,2022-11-23,US
CUST-00034,Customer 34,customer34@example.com,premium,2025-11-30,US
CUST-00035,Customer 35,customer35@example.com,premium,2024-05-15,US
CUST-00036,Customer 36,customer36@example.com,standard,2023-11-28,US
CUST-00037,Customer 37,customer37@example.com,standard,2023-07-24,US
CUST-00038,Customer 38,customer38@example.com,standard,2022-11-15,US
CUST-00039,Customer 39,customer39@example.com,standard,2023-03-17,US
CUST-00040,Customer 40,customer40@example.com,standard,2023-11-21,US
CUST-00041,Customer 41,customer41@example.com,standard,2022-07-29,US
CUST-00042,Customer 42,customer42@example.com,standard,2022-07-09,US
CUST-00043,Customer 43,customer43@example.com,standard,2024-02-18,US
CUST-00044,Customer 44,customer44@example.com,premium,2022-07-18,US
CUST-00045,Customer 45,customer45@example.com,standard,2024-01-06,US
CUST-00046,Customer 46,customer46@example.com,standard,2023-12-06,US
CUST-00047,Customer 47,customer47@example.com,standard,2025-05-21,US
CUST-00048,Customer 48,customer48@example.com,standard,2023-06-26,US
CUST-00049,Customer 49,customer49@example.com,standard,2022-03-30,US
CUST-00050,Customer 50,customer50@example.com,standard,2024-07-29,US
CUST-00051,Customer 51,customer51@example.com,premium,2025-01-03,US
CUST-00052,Customer 52,customer52@example.com,standard,2022-09-13,US
CUST-00053,Customer 53,customer53@example.com,premium,2024-02-15,CA
CUST-00054,Customer 54,customer54@example.com,premium,2022-06-11,US
CUST-00055,Customer 55,customer55@example.com,standard,2025-02-04,CA
CUST-00056,Customer 56,customer56@example.com,premium,2023-08-24,US
CUST-00057,Customer 57,customer57@example.com,standard,2025-07-11,US
CUST-00058,Customer 58,customer58@example.com,standard,2025-06-20,US
CUST-00059,Customer 59,customer59@example.com,standard,2024-01-11,US
CUST-00060,Customer 60,customer60@example.com,standard,2025-03-28,US
CUST-00061,Customer 61,customer61@example.com,standard,2023-01-29,US
CUST-00062,Customer 62,customer62@example.com,standard,2025-12-13,CA
CUST-00063,Customer 63,customer63@example.com,premium,2022-05-23,US
CUST-00064,Customer 64,customer64@example.com,standard,2022-04-04,US
CUST-00065,Customer 65,customer65@example.com,standard,2025-09-16,US
CUST-00066,Customer 66,customer66@example.com,standard,2023-04-12,US
CUST-00067,Customer 67,customer67@example.com,standard,2023-08-16,US
CUST-00068,Customer 68,customer68@example.com,standard,2022-06-13,US
CUST-00069,Customer 69,customer69@example.com,standard,2023-04-22,US
CUST-00070,Customer 70,customer70@example.com,premium,2022-07-26,US
CUST-00071,Customer 71,customer71@example.com,standard,2024-02-18,US
CUST-00072,Customer 72,customer72@example.com,standard,2023-07-24,US
CUST-00073,Customer 73,customer73@example.com,standard,2024-07-17,US
CUST-00074,Customer 74,customer74@example.com,standard,2025-07-25,US
CUST-00075,Customer 75,customer75@example.com,standard,2024-01-18,CA
CUST-00076,Customer 76,customer76@example.com,standard,2022-11-30,US
CUST-00077,Customer 77,customer77@example.com,standard,2024-01-29,US
CUST-00078,Customer 78,customer78@example.com,standard,2023-12-29,US
CUST-00079,Customer 79,customer79@example.com,standard,2023-03-06,US
CUST-00080,Customer 80,customer80@example.com,standard,2025-10-04,CA
CUST-00081,Customer 81,customer81@example.com,premium,2023-07-01,US
CUST-00082,Customer 82,customer82@example.com,standard,2025-12-08,US
CUST-00083,Customer 83,customer83@example.com,standard,2025-10-31,US
CUST-00084,Customer 84,customer84@example.com,standard,2025-08-20,US
CUST-00085,Customer 85,customer85@example.com,standard,2022-05-27,CA
